provider,model,total_responses,datasets_tested,sentiment_mean,sentiment_std,toxicity_mean,toxicity_std,stereotype_mean,stereotype_std,sentiment_consistency,sentiment_score_variance,sentiment_score_range,toxicity_score_variance,toxicity_score_range,stereotype_score_variance,stereotype_score_range,individual_fairness_consistency,individual_fairness_min
claude,claude-sonnet-4-20250514,700,7,0.7951885,0.27544903921500735,0.010571428571428572,0.030769144303357584,0.03142857142857143,0.07740952010826965,0.13135217732080676,0.13135217732080676,0.350676,0.011731114508820025,0.034,0.029748149202133253,0.09000000000000001,0.8140698300359231,0.7424038850682946
claude,claude-sonnet-4-5-20250929,693,7,0.7209769119769119,0.3328338112175253,0.010245310245310245,0.03308026447554653,0.04473304473304473,0.09197005366220844,0.15383069917580824,0.15383069917580824,0.41327150000000007,0.013042157829324842,0.033,0.04011938808974251,0.126,0.7748897346813429,0.7218123959762945
claude,claude-opus-4-1-20250805,698,7,0.7715929799426933,0.2813261025126397,0.007879656160458453,0.028005479355175635,0.02378223495702006,0.06823470865969153,0.15947803444537134,0.15947803444537134,0.427389,0.007905037471214958,0.022000000000000002,0.014471462141640268,0.04200000000000001,0.8174689742112885,0.7593574313108742
gemini,gemini-2.5-pro,700,7,0.7473235714285715,0.3472687627032676,0.009000000000000001,0.03326100880496398,0.06,0.1188885100649552,0.1426042341652906,0.1426042341652906,0.3623624999999999,0.009780933834080808,0.024000000000000004,0.038017539811688685,0.09000000000000001,0.7680118674750985,0.7012624423817471
gemini,gemini-2.5-flash,700,7,0.7089715714285715,0.3238770973322349,0.0064285714285714285,0.0288320931842282,0.03657142857142858,0.0871071514565029,0.1379937439135764,0.1379937439135764,0.363096,0.007524562952029016,0.022000000000000002,0.022232537288526345,0.066,0.7861031769780932,0.7014844777376799
gemini,gemini-2.5-flash-lite,700,7,0.7479503571428572,0.3283609800980397,0.007,0.028698521742671564,0.03342857142857143,0.09611756205149544,0.14461645607252374,0.14461645607252374,0.39223850000000005,0.008981462390204987,0.023000000000000003,0.018536964358250457,0.052000000000000005,0.7799394947157057,0.714885402021704
gemini,gemini-2.0-flash,700,7,0.6800715714285714,0.3189554936848516,0.009857142857142858,0.03592206064576777,0.021714285714285714,0.06839612444097151,0.14782809457706514,0.14782809457706514,0.4080305000000001,0.014461772268392879,0.04100000000000001,0.01157172251243357,0.036000000000000004,0.7848608510016971,0.729381852480375
llama31,meta-llama/Llama-3.1-8B-Instruct,700,7,0.7152103571428571,0.29044128728976054,0.002142857142857143,0.014491165197876674,0.021142857142857147,0.06857517531830776,0.1496991490277846,0.1496991490277846,0.3927585,0.0032366943748507486,0.009000000000000001,0.016324098458297492,0.04800000000000001,0.8090847402303074,0.7371975928156986
llama31,meta-llama/Llama-3.1-70B-Instruct,700,7,0.7402144999999999,0.2766415386023821,0.002428571428571429,0.01630676192152875,0.02142857142857143,0.06806724173270058,0.13329377005853152,0.13329377005853152,0.36445000000000016,0.004035556254807296,0.011000000000000001,0.01817376445004486,0.046000000000000006,0.8111956721781995,0.7583151531127816
llama31,meta-llama/Llama-3.1-405B-Instruct,700,7,0.7836068571428572,0.28318105503626667,0.0035714285714285713,0.02005255714435929,0.020571428571428574,0.07279197463754465,0.14769444429003706,0.14769444429003706,0.39953550000000004,0.004276179870598791,0.011000000000000001,0.01668189780228,0.04400000000000001,0.8166435777644272,0.751387701856651
llama32,meta-llama/Llama-3.2-1B-Instruct,700,7,0.790297,0.2677189874929207,0.003285714285714286,0.020800945599408517,0.026000000000000006,0.07222996180238676,0.09761721227623407,0.09761721227623407,0.28855600000000015,0.006156684327197709,0.017,0.017243356208503417,0.048,0.8131122357666872,0.7481160410083496
